Name,Location,Latitude,Longitude,Has_Valid_Coords
Alumni 1,"New York, USA",40.587340118847365,-73.55528569359008,True
Alumni 2,"London, UK",51.7393939418114,-0.029141515802963397,True
Alumni 3,"Tokyo, Japan",35.33221864044244,139.3062945203362,True
Alumni 4,"Sydney, Australia",-34.3107163878318,151.57547614577496,True
Alumni 5,"Rio de Janeiro, Brazil",-22.805684988256793,-42.96482742220395,True
Alumni 6,"Cape Town, South Africa",-34.4043155057042,18.894009852161993,True
Alumni 7,"Moscow, Russia",56.08824264080042,37.32963911067828,True
Alumni 8,"Beijing, China",39.5860249672071,116.09080450985343,True
Alumni 9,"Mumbai, India",18.88024224295954,72.90245643163225,True
Alumni 10,"Paris, France",48.78854501864212,2.143429140198042,True
Alumni 11,"New York, USA",40.824652894722384,-74.36650613934796,True
Alumni 12,"London, UK",51.29954464853522,-0.2614381567063083,True
Alumni 13,"Tokyo, Japan",35.63226998421704,139.935475961393,True
Alumni 14,"Sydney, Australia",-34.169126217841644,151.22353443841362,True
Alumni 15,"Rio de Janeiro, Brazil",-22.814385431137957,-43.62644958728,True
Alumni 16,"Cape Town, South Africa",-33.817355148098564,18.09462412368729,True
Alumni 17,"Moscow, Russia",55.32085159298528,38.06618553725333,True
Alumni 18,"Beijing, China",40.36983203307456,116.71579734811645,True
Alumni 19,"Mumbai, India",18.880613769173372,72.47537211400639,True
Alumni 20,"Paris, France",49.04083302651216,2.2923524937396014,True
Alumni 21,"New York, USA",40.33483823484478,-74.01082308988873,True
Alumni 22,"London, UK",51.041788521115215,0.28152040207878204,True
Alumni 23,"Tokyo, Japan",35.434979981600016,139.81282228435396,True
Alumni 24,"Sydney, Australia",-34.05708892391059,151.22936802117783,True
Alumni 25,"Rio de Janeiro, Brazil",-22.86008972065672,-43.488045544474474,True
Alumni 26,"Cape Town, South Africa",-33.45531537223544,18.699232823361115,True
Alumni 27,"Moscow, Russia",56.19529894156419,38.01212735042765,True
Alumni 28,"Beijing, China",40.00209997881109,116.8292742350231,True
Alumni 29,"Mumbai, India",18.66449250205192,72.57368286241915,True
Alumni 30,"Paris, France",48.40182728891054,2.1775303307632643,True
Alumni 31,"New York, USA",40.601477289689484,-74.2346509682261,True
Alumni 32,"London, UK",51.836137509151925,-0.27104667330641075,True
Alumni 33,"Tokyo, Japan",35.457134509687386,139.69299608315825,True
Alumni 34,"Sydney, Australia",-34.22787577502524,151.51149698075406,True
Alumni 35,"Rio de Janeiro, Brazil",-23.33224935632023,-42.68601306339948,True
Alumni 36,"Cape Town, South Africa",-33.652655230703346,18.12281568153417,True
Alumni 37,"Moscow, Russia",55.261322117123605,37.93276142845483,True
Alumni 38,"Beijing, China",40.11105734384762,116.63640716804099,True
Alumni 39,"Mumbai, India",19.347270346685946,72.45174465173409,True
Alumni 40,"Paris, France",48.715065728544275,1.9680690595251296,True
Alumni 41,"New York, USA",41.075903425875595,-73.88270187317244,True
Alumni 42,"London, UK",51.33829802485265,-0.5642416497139764,True
Alumni 43,"Tokyo, Japan",35.487182321715665,139.47548332202675,True
Alumni 44,"Sydney, Australia",-33.639193821661934,151.34685747135524,True
Alumni 45,"Rio de Janeiro, Brazil",-22.519587257423673,-43.20068507483805,True
Alumni 46,"Cape Town, South Africa",-34.3053057540617,18.637344787222993,True
Alumni 47,"Moscow, Russia",56.016585048616896,37.678577197569496,True
Alumni 48,"Beijing, China",40.17516717995456,116.40119559636439,True
Alumni 49,"Mumbai, India",19.098732829381994,72.80524101835856,True
Alumni 50,"Paris, France",48.3820191267441,1.9600914269933043,True
Alumni 51,"New York, USA",40.244229185686734,-73.86958958873622,True
Alumni 52,"London, UK",51.32175598107632,-0.11922930883529723,True
Alumni 53,"Tokyo, Japan",36.0837664739261,139.39959222914885,True
Alumni 54,"Sydney, Australia",-33.95841707696437,151.46485113854305,True
Alumni 55,"Rio de Janeiro, Brazil",-23.17800183450838,-43.595920090171205,True
Alumni 56,"Cape Town, South Africa",-34.13514854708623,18.085321287254004,True
Alumni 57,"Moscow, Russia",56.185497652342576,37.925420379564414,True
Alumni 58,"Beijing, China",40.03760375651043,116.77886059018772,True
Alumni 59,"Mumbai, India",19.379672076899116,72.56427005888604,True
Alumni 60,"Paris, France",49.249158998489975,2.3915422419156505,True
Alumni 61,"New York, USA",41.02024015516406,-73.6099087000765,True
Alumni 62,"London, UK",51.325403474971864,-0.5177480754723233,True
Alumni 63,"Tokyo, Japan",35.40413516254194,139.57740778862623,True
Alumni 64,"Sydney, Australia",-33.55078523407751,151.57003058325637,True
Alumni 65,"Rio de Janeiro, Brazil",-23.39984786946881,-43.162152697422435,True
Alumni 66,"Cape Town, South Africa",-34.00748899685122,18.14620781047073,True
Alumni 67,"Moscow, Russia",55.37566536733368,37.45491517140363,True
Alumni 68,"Beijing, China",40.34710970391252,116.23060293202074,True
Alumni 69,"Mumbai, India",19.094790621743368,73.08071895889518,True
Alumni 70,"Paris, France",48.72022960237929,2.8239820827209607,True
Alumni 71,"New York, USA",41.17524729494211,-74.25421770417464,True
Alumni 72,"London, UK",51.50464850589238,-0.32692169018323036,True
Alumni 73,"Tokyo, Japan",35.46104049437747,139.18718694735452,True
Alumni 74,"Sydney, Australia",-33.7592356660201,151.21197902322888,True
Alumni 75,"Rio de Janeiro, Brazil",-23.355321248750013,-43.39425353576339,True
Alumni 76,"Cape Town, South Africa",-33.516634114033344,18.163661890666972,True
Alumni 77,"Moscow, Russia",55.40069487209122,37.606752760277566,True
Alumni 78,"Beijing, China",40.3898504541106,116.1494552715115,True
Alumni 79,"Mumbai, India",19.24813554740588,73.13931961532872,True
Alumni 80,"Paris, France",48.5942375439924,2.5804163486118594,True
Alumni 81,"New York, USA",40.580583132719255,-73.87369416940642,True
Alumni 82,"London, UK",51.640929710760894,-0.09202531592524152,True
Alumni 83,"Tokyo, Japan",35.26648977005441,139.98560249558923,True
Alumni 84,"Sydney, Australia",-34.048019935028265,150.89581851039986,True
Alumni 85,"Rio de Janeiro, Brazil",-23.366024858445236,-43.082007056811754,True
Alumni 86,"Cape Town, South Africa",-33.74733563815772,17.940687828927857,True
Alumni 87,"Moscow, Russia",55.76789305829928,37.34379577519794,True
Alumni 88,"Beijing, China",40.04937279040945,116.08176642900499,True
Alumni 89,"Mumbai, India",19.266937738102467,72.76443534630054,True
Alumni 90,"Paris, France",49.29332998873674,1.989720944145993,True
Alumni 91,"New York, USA",40.55386635105026,-74.39252647875941,True
Alumni 92,"London, UK",51.93209361827856,0.24953935338098102,True
Alumni 93,"Tokyo, Japan",35.43414162771516,139.81028404603416,True
Alumni 94,"Sydney, Australia",-33.551577799798785,151.26450081159948,True
Alumni 95,"Rio de Janeiro, Brazil",-22.877149421643995,-43.431047709099545,True
Alumni 96,"Cape Town, South Africa",-34.3317972321941,18.821315757953325,True
Alumni 97,"Moscow, Russia",56.15621805716333,37.75040145727327,True
Alumni 98,"Beijing, China",39.743229791048705,116.25660957461265,True
Alumni 99,"Mumbai, India",19.30195567887024,73.27481025995259,True
Alumni 100,"Paris, France",49.24368642426512,2.6320755458576235,True
